Test ID,Testijuhtumi nimetus,Testitüüp,Kirjeldus,Eeltingimused,Testimise sammud,Oodatav tulemus,Tegelik tulemus,Staatus,Täideviija,Kuupäev,Märkused
UT-001,E-maili valideerimise funktsioon - kehtiv e-mail,Ühikutest,Kontrollida kas validateEmail funktsioon aktsepteerib kehtivat e-maili aadressi,Süsteem on laaditud,1. Kutsu validateEmail('test@ut.ee'),Tagastab true,Ootel,Käsitsi,Testimine,
UT-002,E-maili valideerimise funktsioon - kehtetu e-mail,Ühikutest,Kontrollida kas validateEmail funktsioon lükkab tagasi kehtetu e-maili aadressi,Süsteem on laaditud,1. Kutsu validateEmail('kehtetu-email'),Tagastab false,Ootel,Käsitsi,Testimine,
UT-003,Üliõpilaskoodi valideerimise funktsioon - kehtiv kood,Ühikutest,Kontrollida kas validateStudentId funktsioon aktsepteerib 6-kohalist numbrit,Süsteem on laaditud,1. Kutsu validateStudentId('123456'),Tagastab true,Ootel,Käsitsi,Testimine,
UT-004,Üliõpilaskoodi valideerimise funktsioon - kehtetu kood,Ühikutest,Kontrollida kas validateStudentId funktsioon lükkab tagasi vale formaadiga koodi,Süsteem on laaditud,1. Kutsu validateStudentId('12345A'),Tagastab false,Ootel,Käsitsi,Testimine,
UT-005,Keskmise hinde arvutamine - mitme hinde korral,Ühikutest,Kontrollida kas calculateAverageGrade funktsioon arvutab õigesti keskmise,3 hinnet süsteemis (3.0 4.0 5.0),1. Kutsu calculateAverageGrade(),Tagastab 4.0,Ootel,Käsitsi,Testimine,
UT-006,Keskmise hinde arvutamine - tühja andmebaasi korral,Ühikutest,Kontrollida kas calculateAverageGrade funktsioon töötab tühja andmebaasi korral,Tühi hinnete andmebaas,1. Kutsu calculateAverageGrade(),Tagastab 0,Ootel,Käsitsi,Testimine,
IT-001,Üliõpilase lisamine ja LocalStorage salvestamine,Integratsioontest,Kontrollida kas üliõpilase lisamine salvestab andmed LocalStorage-sse,Süsteem on laaditud,1. Ava üliõpilaste leht\n2. Täida vorm kehtivate andmetega\n3. Vajuta 'Lisa üliõpilane'\n4. Kontrolli localStorage,Üliõpilane salvestatud localStorage-sse,Ootel,Käsitsi,Testimine,
IT-002,Hinde lisamine ja seostamine üliõpilasega,Integratsioontest,Kontrollida kas hinne seostatakse õigesti üliõpilasega,Vähemalt 1 üliõpilane süsteemis,1. Ava hinnete leht\n2. Vali üliõpilane\n3. Sisesta aine ja hinne\n4. Vajuta 'Lisa hinne',Hinne seostatud õige üliõpilasega,Ootel,Käsitsi,Testimine,
IT-003,Navigeerimise ja lehe uuendamise integratsioon,Integratsioontest,Kontrollida kas navigeerimine uuendab õigesti UI elemente,Süsteemis on andmeid,1. Ava avaleht\n2. Navigeeri üliõpilaste lehele\n3. Tagasi avalehele,Statistika uuendatud kõikidel lehtedel,Ootel,Käsitsi,Testimine,
IT-004,Otsingufunktsiooni ja andmete kuvamise integratsioon,Integratsioontest,Kontrollida kas otsing filtreerib õigesti üliõpilaste loendit,Mitmed üliõpilased süsteemis,1. Ava üliõpilaste leht\n2. Sisesta otsingusse üliõpilase nimi\n3. Vajuta 'Otsi',Kuvatakse ainult vastavad üliõpilased,Ootel,Käsitsi,Testimine,
ST-001,Täielik üliõpilase registreerimise stsenaaium,Süsteemitest,Kontrollida tervet üliõpilase registreerimise protsessi,Tühi süsteem,1. Ava rakendus\n2. Mine üliõpilaste lehele\n3. Lisa uus üliõpilane\n4. Kontrolli kuvamist\n5. Kontrolli statistikat,Üliõpilane lisatud ja kõikjal nähtav,Ootel,Käsitsi,Testimine,
ST-002,Täielik hinde andmise stsenaaium,Süsteemitest,Kontrollida tervet hinde andmise protsessi,Vähemalt 1 üliõpilane süsteemis,1. Mine hinnete lehele\n2. Vali üliõpilane\n3. Anna hinne\n4. Kontrolli statistikat\n5. Vaata hinnete loendit,Hinne lisatud ja statistika uuendatud,Ootel,Käsitsi,Testimine,
